"source","pagePath","visits"
"google","/MBA-MCA/sardar-patel-college-of-administration-management-spcam-mba-sfi-bakrol-anand",1
"google","/d2dcollege/takshashila-college-of-engineering-technology-rajkot",1
"google","/searchd2dpharmacy.php",1
"google.com","/medicalcollege/ahmedabad-physiotherapy-college-bopal-ahmedabad",1
"gtuzone.blogspot.in","/",1
"(direct)","/",1
"conduit","/",1
"facebook.com","/",1
"google","/engineeringcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",2
"google","/diplomaengineeringcollege/darshan-institute-of-engineering-technology-for-diploma-studies-rajkot",1
"google","/diplomaengineeringcollege/government-polytechnic-gandhinagar",1
"google","/gujarat-degree-pharmacy-college-list",1
"google","/",25
"google","/d2d-engineering-colleges",1
"google","/gujarat-me-mtech-college",1
"google","/me-mtech-colleges",1
"google","/diplomaengineeringcollege/image-engg-technical-institute-ashalali-",1
"google","/MBA-MCA/institute-of-technology-and-management-waghodia-vadodara",1
"google","/engineeringcollege/kankeshwari-devi-institute-of-technology-jamnagar",1
"google","/merit-calculator",3
"google","/newmecollege.php",1
"google","/MBA-MCA/noble-engineering-college-mba-course-sfi-bamangam-junagadh",1
"google","/MBA-MCA/smt-r-d-gardi-department-of-business-management-gia-",1
"google","/MBA-MCA/swami-ghanshyam-jivandasji-mba-college-sgj-mba-college-sfi-mandvi-kutchh",2
"google","/search.php",2
"google","/search2.php",1
"google","/engineeringcollege/v-v-p-engineering-college-rajkot",1
"googleads.g.doubleclick.net","/",1
"(direct)","/diplomaengineeringintake/balasinor-college-of-polytechnic-",1
"(direct)","/bindingdiploma.php",1
"(direct)","/",1
"(direct)","/index.php",1
"(direct)","/me-mtech-colleges-list",1
"(direct)","/me-mtech-colleges",1
"babylon","/d2d-engineering-colleges-list",1
"facebook.com","/",2
"google","/diplomaengineeringcollege/atul-polytechnic-gandhinagar",1
"google","/engineeringcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",2
"google","/MBA-MCA/dr-bharat-barad-institute-of-management-computer-science-sutrapada-sfi-",1
"google","/bindingdiploma.php",1
"google","/",13
"google","/engineering-colleges-list",2
"google","/me-mtech-colleges-list",1
"google","/me-mtech-colleges",1
"google","/merit-calculator",2
"google","/d2dpharmacy/s-j-thakkar-pharmacy-college-rajkot",1
"google","/d2dpharmacy/sharda-pharmacy-college-pansar-gandhinagar",1
"google","/d2dpharmacy/sharda-school-of-pharmacy-pethapur",1
"google","/diplomaengineeringcollege/smt-r-s-patel-institute-of-diploma-engineering-shelavi-patan-",2
"google","/diplomaengineeringcollege/swaminarayan-college-of-engineering-saij-kalol-",1
"google","/engineeringcollege/takshashila-college-of-engineering-technology-rajkot",2
"google","/search1.php",1
"googleads.g.doubleclick.net","/",1
"search.mywebsearch.com","/merit-calculator",1
"study.taaza.com","/",1
"(direct)","/",1
"google","/d2dcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",1
"google","/diploma-colleges-list",1
"google","/",13
"google","/architecture-colleges-list",1
"google","/gujarat-me-mtech-college",1
"google","/me-mtech-colleges",2
"google","/mpharm-colleges-list",1
"google","/merit-calculator",2
"google","/newmecollege.php",1
"google","/MBA-MCA/patel-group-of-institutions-sfi-moti-dau",1
"google","/MBA-MCA/s-k-school-of-business-management-gia-",1
"google","/engineeringcollege/sardar-patel-institute-of-technology-piludara",1
"google","/d2dpharmacy/sharda-school-of-pharmacy-pethapur",1
"google","/d2dpharmacy/smt-r-b-patel-mahila-pharmacy-college-atkot-dist-rajkot-for-girls-",1
"(direct)","/",2
"(direct)","/me-mtech/r-k-college-of-engineering-and-technology-rajkot",1
"babylon","/",1
"babylon","/gujarat-me-mtech-college",1
"google","/diplomaengineeringcollege/b-s-patel-polytechnic-kherva-",1
"google","/diplomaengineeringcollege/christ-polytechnic-institute-rajkot-",1
